"2DD2616C-5474-4C5E-80C8-F0E41F527CA5","41000","1996-05-03","B76 1LF","F","N","L","","25","TRIDENT CLOSE","SUTTON COLDFIELD","SUTTON COLDFIELD","BIRMINGHAM","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/2DD2616C-5474-4C5E-80C8-F0E41F527CA5/current"
"99FD9C12-FB9D-42B3-AB86-61C05B8E7FAD","105000","1996-09-12","B92 8BF","D","Y","F","","10","BURLISH AVENUE","SOLIHULL","SOLIHULL","SOLIHULL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/99FD9C12-FB9D-42B3-AB86-61C05B8E7FAD/current"
"5EDD6EA6-7283-4CC3-8035-42A0AE104D21","47950","1996-08-30","BA22 8PU","T","Y","F","","51","FOXGLOVE WAY","YEOVIL","YEOVIL","SOUTH SOMERSET","SOMERSET","A","http://landregistry.data.gov.uk/data/ppi/transaction/5EDD6EA6-7283-4CC3-8035-42A0AE104D21/current"
"2A289E9D-2AD0-CDC8-E050-A8C063054829","4000","1996-06-12","BB2 4JA","T","N","F","","20","NUTTALL STREET","","BLACKBURN","BLACKBURN WITH DARWEN","BLACKBURN WITH DARWEN","A","http://landregistry.data.gov.uk/data/ppi/transaction/2A289E9D-2AD0-CDC8-E050-A8C063054829/current"
"3FD95C35-7C37-454E-809E-D7C585D1B1CF","87500","1996-12-16","BH2 5QZ","D","N","F","","27","NORWICH ROAD","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","http://landregistry.data.gov.uk/data/ppi/transaction/3FD95C35-7C37-454E-809E-D7C585D1B1CF/current"
"6D4ADC90-7E7A-45E0-87C0-41121ABF2219","30000","1996-03-12","BN3 3JA","S","N","F","","14","THE DRIVE","HOVE","HOVE","HOVE","EAST SUSSEX","A","http://landregistry.data.gov.uk/data/ppi/transaction/6D4ADC90-7E7A-45E0-87C0-41121ABF2219/current"
"8BBE3C0F-C386-44C8-A87B-56DB89ECB7AE","46000","1996-10-04","BN41 1ST","T","N","F","","38","WOLSELEY ROAD","PORTSLADE","BRIGHTON","HOVE","EAST SUSSEX","A","http://landregistry.data.gov.uk/data/ppi/transaction/8BBE3C0F-C386-44C8-A87B-56DB89ECB7AE/current"
"45165EFB-82C5-4E49-91B4-8A66AEDEF438","59995","1996-12-16","BS14 0PZ","S","N","F","","10","YEOMANSIDE CLOSE","BRISTOL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","http://landregistry.data.gov.uk/data/ppi/transaction/45165EFB-82C5-4E49-91B4-8A66AEDEF438/current"
"AF2DD2AB-0B84-4C18-BA36-711D2DC035E0","67000","1996-11-22","BS26 2DU","T","N","F","","5","MILL STREAM CLOSE","AXBRIDGE","AXBRIDGE","SEDGEMOOR","SOMERSET","A","http://landregistry.data.gov.uk/data/ppi/transaction/AF2DD2AB-0B84-4C18-BA36-711D2DC035E0/current"
"E9D1F062-1856-452C-A462-0E9B3D174928","110000","1996-12-03","BS31 3DP","S","N","F","","38","CLAVERTON ROAD","SALTFORD","BRISTOL","BATH AND NORTH EAST SOMERSET","BATH AND NORTH EAST SOMERSET","A","http://landregistry.data.gov.uk/data/ppi/transaction/E9D1F062-1856-452C-A462-0E9B3D174928/current"
